,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Abyss Herald,Abyss Herald,深渊使徒,深淵使徒,Вестник Бездны,Abyss Herald,Ability Reduce
Abyss Mage,Abyss Mage,深渊法师,深淵法師,Маг бездны,Abyss Mage,Thông tin
Abyss mage/churl/slime shields.,Abyss mage/churl/slime shields.,深渊法师/深渊使徒/史莱姆 的护盾,深淵法師/深淵使徒/史萊姆 的護盾,Щиты магов бездны/хиличурлов/слаймов,Perisai Abyss Mage/Churl/Slime.,Sứ Đồ Vực Sâu
AbyssLector_VioletLightning,AbyssLector_VioletLightning,深渊咏者·紫电,深淵詠者·紫電,Чтец Бездны: Пурпурная молния,AbyssLector_VioletLightning,Pháp Sư Vực Sâu
Account,Account,账号,帳號,Аккаунт,Akun,Pháp Sư Vực Sâu / Churl / Lá Chắn Slime
Account Name,Account Name,账号名称,帳號名稱,Имя аккаунта,Nama Akun,Học Sĩ Vực Sâu - Tử Điện
Account Switcher,Account Switcher,账号切换器,帳號切換器,Переключатель аккаунтов,Ganti Akun,Tài khoản
Account list,Account list,账号列表,帳號列表,Список аккаунтов,Daftar akun,Tên tài khoản
"Account was updated.
Config profile was changed.","Account was updated.
Config profile was changed.","账户已更新。
配置文件已更换。","賬戶已更新。
配置文件已更換。","Аккаунт был обновлён.
Изменена конфигурация профиля.","Akun telah diperbarui.
Profil konfigurasi telah diperbarui.",Trình chuyển đổi tài khoản
Accounts,Accounts,账号,帳號,Аккаунты,Akun,Danh sách tài khoản
Acl,Acl,账号列表,帳號列表,Acl,Acl,"Tài khoản của bạn đã được cập nhật.
Hồ sơ cấu hình đã được thay đổi."
Action,Action,行为,行為,Действие,Opsi,Tài khoản khác
Actions,Actions,行为,行為,Действия,Opsi,Acl
Active Glider,Active Glider,生效的风之翼,生效的風之翼,Активный планер,Glider,Hành động
Active Hero,Active Hero,生效的角色,生效的角色,Активный герой,Hero,Các hoặc động
Active features,Active features,生效功能,生效功能,Активные особенности,Fitur aktif,Active Glider
Add,Add,添加,添加,Добавить,Tambah,Active Hero
Add Teleport,Add Teleport,添加传送文件,添加傳送文件,Добавить телепорт,Tambah Teleportasi,Tính năng hoạt động
Add current position,Add current position,添加当前位置坐标,添加當前位置座標,Добавить текущую точк,Tambah posisi saat ini,Thêm
Add filter,Add filter,添加筛选器,添加篩選器,Добавить фильтр,Tambah filter,Thêm dịch chuyển
Add new profile,Add new profile,添加新的配置文件,添加新的配置文件,Добавить новый профиль,Tambah profil baru,Thêm vị trí hiện tại
Additional Dll,Additional Dll,添加的Dll,添加的Dll,Дополнительные DLL,Dll Tambahan,Thêm thông số
Adhigama Wood,Adhigama Wood,证悟木,證悟木,Древесина адхигамы,Adhigama Wood,Thêm hồ sơ mới
Adjust interface font size.,Adjust interface font size.,调整界面字体大小,調整界面字體大小,Настройка размера шрифта интерфейса,Ubah ukuran font antarmuka.,Bổ sung Dll
"Adjusting items is power consumption operation.
So rescanning will happen with a specified delay.","Adjusting items is power consumption operation.
So rescanning will happen with a specified delay.","调整项目是消耗性能的操作，
因此重新扫描将以指定的延迟发生。","調整項目是消耗性能的操作，
因此重新掃描將以指定的延遲發生。","Пересортировка предметов довольно энергозатратное дело.
Поэтому сортировка будет проводиться с определённой задержкой.","Proses ini memakan cukup banyak daya.
Jadi proses rescanning akan dilakukan dalam delay tertentu.",Gỗ Adhigama
Adorned Unagi,Adorned Unagi,藤纹陆鳗鳗,藤紋陸鰻鰻,Узорный унаги,Adorned Unagi,Điều chỉnh kích thước phông chữ giao diện.
Aeonblight Drake,Aeonblight Drake,兆载永劫龙兽,兆載永劫龍獸,Дракон вечных бедствий,Aeonblight Drake,"Các mục điều chỉnh là hoạt động tiêu thụ điện năng.
Vì vậy, quá trình quét lại sẽ xảy ra với độ trễ được chỉ định."
Aggro,Aggro,仇恨,仇恨,Агро,Aggro,Adorned Unagi
Aizen Medaka,Aizen Medaka,蓝染花鳉,藍染花鱂,Голубая оризия,Aizen Medaka,Rồng Điềm Báo Vạn Kiếp
Ajilenakh Nut,Ajilenakh Nut,枣椰,棗椰,Орехи аджиленах,Ajilenakh Nut,Hung bạo
Akai Maou,Akai Maou,赤魔王,赤魔王,Алый дьявол,Akai Maou,Cá Khổng Tước Lam
Akuoumaru,Akuoumaru,恶王丸,惡王丸,Акуомару,Akuoumaru,Quả Ajilenakh
Albedo,Albedo,阿贝多,阿貝多,Альбедо,Albedo,Xích Ma Vương
Algorithm Of Semi Intransient Matrix Of Overseer Network,Algorithm Of Semi Intransient Matrix Of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Алгоритм полуизвечной матрицы оператора наблюдения,Algoritma Matriks Semi Intransien Pada Jaringan Pengawas,Akuoumaru (Trọng Kiếm)
Algorithm of Semi-Intransient Matrix of Overseer Network,Algorithm of Semi-Intransient Matrix of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Алгоритм полуизвечной матрицы оператора наблюдения,Algoritma Matriks Semi-Intransien Pada Jaringan Pengawas,Albedo
Alhaitham,Alhaitham,艾尔海森,艾爾海森,Аль-Хайтам,Alhaitham,Thuật toán của ma trận bán tạm thời của mạng giám sát
All,All,所有,所有,Все,Semua,Ma Trận Điều Hành Bán Vĩnh Cửu
All: %f,All: %f,全部: %f,全部: %f,Все: %f,Semua: %f,Alhaitham
Alley Hunter,Alley Hunter,暗巷猎手,暗巷獵手,Охотник во тьме,Alley Hunter,Tất cả
Allow moving of 'FPS Indicator' window.,Allow moving of 'FPS Indicator' window.,允许移动帧率显示窗口,允許移動幀率顯示視窗,Возможность двигать окно 'Счётчик FPS'.,Mengizinkan pengubahan posisi jendela 'Indikator FPS'.,Tất cả: %f
Allow moving of 'Info' window.,Allow moving of 'Info' window.,允许移动信息窗口,允許移動信息視窗,Возможность двигать окно 'Info'.,Mengizinkan pengubahan posisi jendela 'Info'.,
Allow moving of 'Status' window.,Allow moving of 'Status' window.,允许移动状态窗口,允許移動狀態視窗,Возможность двигать окно 'Status'.,Mengizinkan pengubahan posisi jendela 'Status'.,"Cho phép di chuyển cửa sổ ""FPS"""
"Allows usage of alternate speed when holding down the LeftCtrl key.
It can be useful if you want to temporarily move faster/slower than the no-clip speed setting.","Allows usage of alternate speed when holding down the LeftCtrl key.
It can be useful if you want to temporarily move faster/slower than the no-clip speed setting.","如果你想暂时使用比 自由移动 设置的速度更快/更慢，
按住左 Ctrl 时 使用备用速度。","如果你想暫時使用比 自由移動 設置的速度更快/更慢，
按住左 Ctrl 時 使用備用速度。","Позволяет передвигаться альтернативной скоростью при зажатии левого Ctrl.
Это полезно, если вы хотите временно передвигаться медленнее или быстрее выше указанной скорости.","Menahan tombol LeftCtrl memberikan kecepatan tambahan.
Berguna ketika ingin mempercepat/memperlambat kecepatan no-clip untuk sesaat.","Cho phép di chuyển cửa sổ ""Thông tin"""
"Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","使你可以修改伤害的元素类型
 有些角色可能没用
 （如果要彻底关闭这个功能，你需要重新加载场景，比如重进游戏或者进副本）","使你可以修改傷害的元素類型
有些角色可能沒用
（如果要徹底關閉這個功能，請重新加载场景，例如重新進入游戲）","Позволяет заменить элемент атаки.
Данная функция может не работать на определённых персонажах.
(Если после отключения этой функции ваш элемент атаки не изменился, вам необходимо перезапустить сцену, например,
зайдя в подземелье или перезапустив игру полностью.","Mengubah tipe elemen serangan.
Mungkin tidak bekerja untuk beberapa karakter. 
(Muat ulang scene untuk benar-benar menonaktifkan fitur ini, cth. masuk ke domain atau relog akun)","Cho phép di chuyển cửa sổ ""Trạng thái"""
Aloy,Aloy,埃洛伊,埃洛伊,Элой,Aloy,"Cho phép sử dụng tốc độ thay thế khi giữ phím LeftCtrl.
Nó có thể hữu ích nếu bạn muốn tạm thời di chuyển nhanh hơn/chậm hơn cài đặt tốc độ No-Clip."
Alt Speed,Alt Speed,变速,變速,Альтернативная скорость,Kecepatan Alternatif,"Cho phép bạn tùy chỉnh loại thông số thiệt hại.
Điều này có thể không hoạt động đối với một số ký tự.
(Nếu bạn muốn đóng hoàn toàn chức năng này, bạn cần tải lại cảnh, ví dụ: vào ngục tối hoặc vào lại trò chơi)"
Alt Speed Key,Alt Speed Key,变速键,變速鍵,Горячая клавиша для альтернативной скорости,Tombol Kecepatan Alternatif,Aloy
Alternate No-clip,Alternate No-clip,备用自由移动,備用自由移動,Альтернативный No-Clip,No-clip Alternatif,"Alt Speed "
"Alternate no-clip move speed.
Not recommended setting above 5.0.","Alternate no-clip move speed.
Not recommended setting above 5.0.",备用自由移动速度，不建议设置超过5.0。,備用自由移動速度，不建議設置超過5.0。,"Скорость альтернативного No-Clip.
Не рекомендуется выставлять выше 5.0.","Kecepatan no-clip alternatif.
Tidak direkomendasikan diset diatas 5.0.",Phím Alt Speed
Amakumo Fruit,Amakumo Fruit,天云草实,天雲草實,Плод облачной травы,Amakumo Fruit,Thay thế No-Clip
Amber,Amber,安柏,安柏,Эмбер,Amber,"Thay thế tốc độ di chuyển No-Clip.
Không nên cài đặt thông số trên 5.0."
Amber_100Outrider,Amber: 100% Outrider,安柏：100%侦察骑士,安柏：100%偵察騎士,Эмбер: Скаут на все сто,Amber_100Outrider,Quả Amakumo
Amenoma Kageuchi,Amenoma Kageuchi,天目影打刀,天目影打刀,Амэнома Кагэути,Amenoma Kageuchi,Amber
Amethyst Lump,Amethyst Lump,紫晶矿,紫晶礦,Кусок аметиста,Amethyst Lump,Kỵ Sĩ Trinh Thám 100%
Amethyst Lump Drop,Amethyst Lump Drop,紫晶矿掉落,紫晶礦掉落,Amethyst Lump Drop,Amethyst Lump Drop,Đoản Đao Amenoma
Amos' Bow,Amos' Bow,阿莫斯之弓,阿莫斯之弓,Лук Амоса,Amos' Bow,Miếng Tử Tinh
Ancient Rime,Ancient Rime,雪山大冰矿,雪山大冰礦,Доисторический лёд,Ancient Rime,Miếng Tử Tinh Rơi
Andrius,Andrius,北风狼,北風狼,Андриус,Andrius,Cung Amos
Anemo,Anemo,风,風,Анемо,Anemo,Tảng băng cổ đại
Anemo Crystalfly,Anemo Crystalfly,风晶蝶,風晶蝶,Кристальная бабочка Анемо,Anemo Crystalfly,Vua sói bắc phong
Anemo Hypostasis,Anemo Hypostasis,无相之风,無相之風,Анемо Гипостазис,Anemo Hypostasis,Phong
Anemoculus,Anemoculus,风神瞳,風神瞳,Анемокул,Anemoculus,Phong Tinh Điệp
Animals,Animals,动物,動物,Животные,Hewan,Phong nguyên bản
Animals without mechanics.,Animals without mechanics.,如：猫、狗,無機制動物(暫),Животные без механик.,Hewan tanpa mekanik.,Phong thần đồng
Animals you can immediately collect.,Animals you can immediately collect.,可以立即拾取的动物,可以立即拾取的動物,"Животные, которых можно сразу собрать.",Hewan yang dapat diambil.,Động vật
Animals you need to kill before collecting.,Animals you need to kill before collecting.,需要先击杀后才能拾取的动物,需要先擊殺後才能拾取的動物,"Животные, которых надо убить перед сбором.",Hewan yang perlu dibunuh.,Động vật không phải máy móc
Animation Changer,Animation Changer,动画修改器,動畫修改器,Замена анимаций,Pengubah Animasi,Động vật có thể sưu tầm được
Animation Multiplier,Animation Multiplier,多重动画倍率,多重動畫倍率,Множитель анимаций,Pengganda Animasi,Động vật bạn cần phải giết trước khi thu thập.
Animation State,Animation State,动画状态,動畫狀態,Состояние анимации,State Animasi,Thay đổi hoạt ảnh
"Animation state to replay.
Results can vary alongside Animation Multiplier","Animation state to replay.
Results can vary alongside Animation Multiplier","要重复的动画状态。
结果可能随 多重动画 而变化。","要重覆的動畫狀態。
結果可能隨 多重動畫 而變化。","Состояние анимации при воспроизведении.
Результат может различаться от множителя анимации.","State animasi yang akan diulang.
Hasil bervariasi tergantung Pengganda Animasi",Thông số hoạt ảnh
Animations,Animations,动画,動畫,Анимации,Animasi,Trạng thái hoạt ảnh
AntiFire,AntiFire,免疫,免疫,AntiFire,AntiFire,"Trạng thái hoạt ảnh để phát lại.
Kết quả có thể thay đổi cùng với thông số hoạt ảnh"
"Append ""UID:"" prefix on the water-mark","Append ""UID:"" prefix on the water-mark","添加 ""UID:"" 前缀","添加 ""UID:"" 字樣在水印前","Добавить приставку ""UID:""","Menambahkan ""UID:"" pada watermark",Ảnh dộng
Apple,Apple,苹果,蘋果,Яблоко,Apple,Chống cháy
Apply,Apply,应用,應用,Применить,Terapkan,"Thêm chữ ""UID"" vào phía trước"
Apply Interval (ms),Apply Interval (ms),应用间隔(毫秒),應用間隔(毫秒),Интервал применения (в мс),Interval Penempelan (ms),Táo
Apply Key,Apply Key,应用快捷键,應用快捷鍵,Кнопка применения,Tombol Tempel,Áp dụng
Apply Mid-air,Apply Mid-air,空中可用,空中可用,Apply Mid-air,Terapkan di udara,Khoảng thời gian áp dụng (ms)
Apply the boost even when in the air.,Apply the boost even when in the air.,在空中也可以超级跳。,在空中也可以超級跳。,Apply the boost even when in the air.,Terapkan peningkatan bahkan saat sedang di udara.,Áp dụng khoá
Apprentice's Notes,Apprentice's Notes,学徒笔记,學徒筆記,Записи ученика,Apprentice's Notes,Áp dụng giữa không gian
Aqua Simulacra,Aqua Simulacra,若水,若水,Аква симулякрум,Aqua Simulacra,Áp dụng tăng cường ngay cả khi ở trên không.
Aquila Favonia,Aquila Favonia,风鹰剑,風鷹劍,Меч Сокола,Aquila Favonia,Nhật Ký Học Sinh
Aralia Wood,Aralia Wood,孔雀木,孔雀木,Аралия,Aralia Wood,Cung Nhược Thủy
Aranara,Aranara,兰那罗,蘭那羅,Аранара,Aranara,Phong Ưng Kiếm
Arataki Itto,Arataki Itto,荒泷一斗,荒瀧一鬥,Итто,Arataki Itto,Gỗ Khổng Tước
Archaic Stone,Archaic Stone,老石,老石,Староцвет,Archaic Stone,Aranara
Artifact,Artifact,圣遗物,聖遺物,Артефакт,Artefak,Arataki Itto
Artifacts,Artifact,圣遗物,聖遺物,Артефакты,Artefak,Lão Thạch
Ascend HotKey,Ascend HotKey,升高热键,升高熱鍵,Горячая клавиша возвышения,HotKey Naik,Thánh Di Vật
Ascension Materials,Ascension Materials,升级素材,升級素材,Материалы возвышения,Material Penguatan,Thánh Di Vật Khác
Ascension Materials Filter,Ascension Materials Filter,升级材料过滤器,升級材料過濾器,Фильтр материалов возвышения,Filter Material Penguatan,Tăng Phím Tắt
Athel Wood,Athel Wood,柽木,檉木,Тамариск,Athel Wood,"Nguyên Liệu Bồi Dưỡng "
Attach,Attach,附加,連結,Привязать,Kaitkan,"Lọc Nguyên Liệu Bồi Dưỡng "
Attack Delay (ms),Attack Delay (ms),攻击间隔(毫秒),攻擊間隔(毫秒),Задержка перед атакой (в мс),Delay Serangan (ms),Athel Wood
Attack Effects,Attack Effects,攻击效果,攻擊效果,Настройки атаки,Efek Serangan,Gắn
Attack Speed,Attack Speed,攻击速度,攻擊速度,Скорость атаки,Kecepatan Serangan,Độ trễ tấn công (ms)
Attack count maximum multiplier.,Attack count maximum multiplier.,倍攻最大倍率,倍攻最大倍率,Максимальный множитель количества атак.,Nilai maksimum pengganda serangan.,Hiệu ứng tấn công
Attack count minimum multiplier.,Attack count minimum multiplier.,倍攻最小倍率,倍攻最小倍率,Минимальный множитель количества атак.,Nilai minimum pengganda serangan.,Tốc độ tấn công
Attack count multiplier.,Attack count multiplier.,倍攻数量,倍攻倍率,Множитель количества атак.,Nilai pengganda serangan.,Thông số tấn công tối đa
Attack speed,Attack speed,攻击速度,攻擊速度,Скорость атаки,Kecepatan serangan,Thông số tấn công tối thiểu
Attack speed multiplier.,Attack speed multiplier.,攻击速度倍率,攻擊速度倍率,Множитель скорости атаки.,Pengganda kecepatan serangan,Thông số tấn công
"Attack your teammates. After enabled, please click the InitObj button.","Attack your teammates. After enabled, please click the InitObj button.",攻击你的队友。启用后请点击初始化按钮。,攻擊你的隊友。啟用後請點擊初始化按鈕。,"Позволяет атаковать других игроков. Нажмите на кнопку InitObj после того, как вы включили данную функцию.","Serang temanmu. Setelah diaktifkan, klik tombol InitObj.",Tốc độ tấn công
Attacks per Tree,Attacks per Tree,每颗树攻击次数,每顆樹攻擊次數,Количество атак на дерево,Serangan per Pohon,Thông số tốc độ tấn công
Aura Range,Aura Range,光环作用范围,光環作用範圍,Радиус ауры,Jarak Aura,"Tấn công đồng đội của bạn. Sau khi kích hoạt, vui lòng nhấp vào nút InitObj."
Auto,Auto,自动,自動,Авто,Otomatis,Tấn công mỗi cây
Auto Challenge,Auto Challenge,自动挑战,自動挑戰,Автоматические испытания на время,Tantangan Otomatis,Phạm vi hào quang
Auto Cook,Auto Cook,自动烹饪,自動烹飪,Автоматическая готовка,Masak Otomatis,Tự động
Auto Cooking [Proficiency],Auto Cooking [Proficiency],自动烹饪 [熟练程度],自動烹飪 [熟練程度],Автоматическая готовка [Мастерство],Masak Otomatis [Kemahiran],Tự động khiêu chiến
"Auto Cooking [Standart, %s]","Auto Cooking [Standart, %s]","自动烹饪 [标准, %s]","自動烹飪 [標準, %s]","Авто готовка [Стандартно, %s]","Masak Otomatis [Standar, %s]",Tự động nấu
Auto Destroy Objects,Auto Destroy Objects,自动摧毁物体,自動摧毀物體,Автоматическое разрушение объектов,Hancurkan Objek Otomatis,Tự động nấu ăn [Thành thạo]
Auto Electro seelie,Auto Electro seelie,自动雷灵,自動雷靈,Автоматическое сопровождение электро-фей,Seelie electro otomatis,"Tự động nấu ăn [Tiêu chuẩn, %s]"
Auto Fish,Auto Fish,自动钓鱼,自動釣魚,Автоматическая рыбалка,Memancing Otomatis,Tự động phá huỷ đối tượng
Auto Loot,Auto Loot,自动收集,自動收集,Автоматический сбор предметов,Loot Otomatis,Tự động tương tác lôi tiên linh
Auto Puzzle,Auto Puzzle,自动解谜,自動解謎,Auto Puzzle,Puzzle Otomatis,Tự động câu cá
Auto Run,Auto Run,自动奔跑,自動奔跑,Автоматический бег,Jalan Otomatis,Tự động nhặt
Auto Seelie,Auto Seelie,自动仙灵,自動仙靈,Автоматическое сопровождение фей,Seelie Otomatis,Tự động giải đố
Auto Talk,Auto Talk,自动对话,自動對話,Автоматический диалог,Dialog Otomatis,Tự động chạy
Auto Teleport,Auto Teleport,自动传送,自動傳送,Автоматический телепорт,Teleportasi Otomatis,Tự động tương tác tiên linh
Auto Tree Farm,Auto Tree Farm,自动砍树,自動砍樹,Автоматический сбор дерева,Farming Pohon Otomatis,Tự động nói chuyện
Auto collect time challenge item,Auto collect time challenge item,自动收集时间挑战的道具,自動收集時間挑戰的道具,Автосбор элементальных частиц в испытаниях на время,Otomatis mengambil item tantangan waktu,Tự động dịch chuyển
Auto destroy,Auto destroy,自动摧毁,自動摧毀,Автоматическое разрушение,Hancurkan Otomatis,Tự động farm cây
Auto destroy bombbarrel,Auto destroy bombbarrel,自动摧毁炸药桶,自動摧毀炸藥桶,Автоматическое разрушение взрывных бочек,Hancurkan gentong bom Otomatis,Tự động thu thập vật phẩm khiêu chiến hạn giờ
Auto disable pickup (on full),Auto disable pickup (on full),自动关闭拾取(背包已满时),自動關閉拾取(背包已滿時),Отключать автоматический сбор при полном инвентаре,Otomatis nonaktif (saat penuh),Tự động phá huỷ
Auto disable when bag is full,Auto disable when bag is full,当背包上限时自动关闭,當背包上限時自動關閉,Автоматически отключать при полном инвентаре,Otomatis nonaktif saat tas penuh,Tự động phá hủy thùng bom
Auto follow seelie to its home,Auto follow seelie to its home,自动跟随仙灵到家,自動跟隨仙靈到家,Автоматическое сопровождение фей до их места назначения,Otomatis tuntun seelie ke rumahnya,Tự động tắt tính năng nhặt khi đầy đủ
Auto reset the queue to first element if there is no attack for a long time.,Auto reset the queue to first element if there is no attack for a long time.,一定时间内没有造成攻击之后重置队列到第一个元素,一定時間內沒有造成攻擊之後重置隊列到第一個元素,"Автоматически сбрасывать порядок на первый элемент, если некоторое время не было атак.",Otomatis reset antrian ke elemen pertama setelah tidak menyerang dalam waktu yang lama.,Tự động tắt khi túi đầy
Auto resolve puzzle,Auto resolve puzzle,自动完成解谜,自動完成解謎,Auto resolve puzzle,Penyelesaian puzzle Otomatis,Tự động tương tác tiên linh để về nhà của nó
"Auto resolve some daily commission such as clean stain, fallen leaves and etc.","Auto resolve some daily commission such as clean stain, fallen leaves and etc.",自动解决一些每日委托，如清洁污渍、落叶等。,自動解決一些每日委託，如清潔污漬、落葉等。,"Auto resolve some daily commission such as clean stain, fallen leaves and etc.","Menyelesaikan daily commission seperti clean stain, fallen leaves, dll.",Tự động đặt lại hàng đợi về thông số ban đầu nếu không có cuộc tấn công nào trong một thời gian dài.
Auto teleport,Auto teleport,自动传送,自動傳送,Авто-телепорт,Teleportasi otomatis,Tự động giải câu đố
Auto teleport delay (sec),Auto teleport delay (sec),自动传送延迟(秒),自動傳送延遲(秒),Задержка авто-телепора (в сек),Delay/Jeda teleportasi otomatis (detik),"Tự động giải quyết một số nhiệm vụ hàng ngày như làm sạch vết bẩn, lá rụng, v.v."
Auto weakspot,Auto weakspot,自动弱点,自動弱點,Автоматически атаковать слабое место,Otomatis menyerang titik lemah,Tự động dịch chuyển
Auto-Pickup,Auto-Pickup,自动拾取,自動拾取,Автоматический подбор,Ambil Otomatis,Độ trễ tự động dịch chuyển (giây)
Auto-Treasure,Auto-Treasure,自动交互,自動寶藏,Автосбор ценных предметов,Buka Chest Otomatis,Tự động tập trung vào điểm yếu
Auto-select Dialog,Auto-select Dialog,自动选择对话选项,自動選擇對話選項,Автовыбор ответов в диалогах,Otomatis pilih dialog,Tự động nhặt
AutoChallenge,AutoChallenge,自动挑战,自動挑戰,Автоматическое прохождение испытаний,AutoChallenge,Báu vật tự động
AutoCook,AutoCook,自动烹饪,自動烹飪,Автоматическая готовка,AutoCook,Tự động chọn lời thoại
AutoDestroy,AutoDestroy,自动摧毁,自動摧毀,Автоматическое разрушение,AutoDestroy,Giải đố tư động
AutoFish,AutoFish,自动钓鱼,自動釣魚,Автоматическая рыбалка,AutoFish,Tự động nấu
AutoLoot,AutoLoot,自动收集,自動收集,Автоматический сбор предметов,AutoLoot,Tự động phá huỷ
AutoResetQueueIfNoAttacks,Auto reset queue if no attacks,无攻击时自动重置队列,無攻擊時自動重置隊列,"Автоматически сбрасывать порядок, если нет атак",AutoResetQueueIfNoAttacks,Tự động câu cá
AutoTalk,AutoTalk,自动对话,自動對話,Автоматический диалог,AutoTalk,Tự động nhặt
AutoTreeFarm,AutoTreeFarm,自动砍树,自動砍樹,Автоматический сбор дерева,AutoTreeFarm,Tự động thiết lập lại hàng đợi nếu không có cuộc tấn công
Automatically attack trees in range.,Automatically attack trees in range.,自动攻击范围内的树木,自動攻擊範圍內的樹木,Автоматически собирает дерево в радиусе.,Menyerang pohon dalam area secara otomatis.,Tự động nói
Automatically catch fish.,Automatically catch fish.,自动钓鱼,自動釣魚,Автоматически ловит рыбу.,Menangkap ikan secara otomatis.,Tự động lấy gỗ
Automatically continue the dialog.,Automatically continue the dialog.,自动继续对话,自動繼續對話,Автоматически продолжает диалог.,Melanjutkan dialog secara otomatis.,Tự động tương tác với cây trong phạm vi.
Automatically disables auto pickup when bag is full.,Automatically disables auto pickup when bag is full.,当背包上限时关闭自动拾取.,當背包上限時關閉自動拾取.,Автоматически выключать автоподбор при полном инвентаре.,"Saat tas sudah penuh, otomatis ambil akan dinonaktifkan.",Tự động bắt cá.
"Automatically opens chests and other treasures.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","Automatically opens chests and other treasures.
Note: It is extremely risky to use this with custom range and low delay times.
Abusing this feature will definitely result in a ban.

If you're using this with a custom range, make sure it is turned on FIRST.","自动打开宝箱和其他交互物品。
注意：此功能用于范围拾取和低延迟的拾取是高风险的，
　　　滥用会导致封号。

如果要使用范围拾取，请确保先打开该选项。","自動打開寶箱和其他寶藏。
注意：此功能用於範圍拾取和低延遲的拾取是高風險的，
　　　濫用會導致封號。

如果要使用範圍拾取，請確保先打開該選項。","Автоматическое открытие сундуков и других сокровищ.
Примечание: использовать это с высокими значениями радиуса сбора и низкой задержкой подбора КРАЙНЕ ОПАСНО.
Злоупотребление этой функцией может привести к бану.

Если используется с пользовательской настройкой радиуса сбора, то убедитесь что это включено ПЕРВЕЕ ВСЕГО.","Buka chest dan harta lainnya secara otomatis.
Catatan: Sangat beresiko saat digunakan bersama jarak kustom dan waktu delay yang rendah.
Jika sering dilakukan dapat terkena banned.

Jika ingin digunakan bersama jarak kustom, aktifkan fitur ini LEBIH DULU.",Tự động tiếp tục nói chuyện .
