,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Abyss Herald,Abyss Herald,深渊使徒,深淵使徒,Вестник Бездны,Abyss Herald,Sứ Đồ Vực Sâu
Abyss Mage,Abyss Mage,深渊法师,深淵法師,Маг бездны,Abyss Mage,Pháp Sư Vực Sâu
AbyssLector_VioletLightning,AbyssLector_VioletLightning,深渊咏者·紫电,深淵詠者·紫電,Чтец Бездны: Пурпурная молния,AbyssLector_VioletLightning,Học Sĩ Vực Sâu - Tử Điện
Randomize,Randomize,随机,隨機,Рандомизировать,Acak,Ngẫu nhiên
Randomize Multiplier,Randomize Multiplier,随机倍攻,隨機倍攻,Варьирущийся множитель,Acak Pengganda,Ngẫu nhiên số lần nhân lên
RandomElementType,RandomElementType,随机元素类型,隨機元素類型,Рандомный элемент,Acak Tipe Elemen,Làm ngẫu nhiên loại nguyên tố
Acl,Acl,账号列表,帳號列表,Acl,Acl,Acl
AD,AD,包满禁用,包滿禁用,AD,AD,AD
Adhigama Wood,Adhigama Wood,证悟木,證悟木,Древесина адхигамы,Adhigama Wood,Gỗ Adhigama
Adorned Unagi,Adorned Unagi,藤纹陆鳗鳗,藤紋陸鰻鰻,Узорный унаги,Adorned Unagi,Adorned Unagi
Aeonblight Drake,Aeonblight Drake,兆载永劫龙兽,兆載永劫龍獸,Дракон вечных бедствий,Aeonblight Drake,Rồng Điềm Báo Vạn Kiếp
Aggro,Aggro,仇恨,仇恨,Агро,Aggro,Hung bạo
Aizen Medaka,Aizen Medaka,蓝染花鳉,藍染花鱂,Голубая оризия,Aizen Medaka,Cá Khổng Tước Lam
Ajilenakh Nut,Ajilenakh Nut,枣椰,棗椰,Орехи аджиленах,Ajilenakh Nut,Quả Ajilenakh
Akai Maou,Akai Maou,赤魔王,赤魔王,Алый дьявол,Akai Maou,Xích Ma Vương
Rod will be recast after this delay (in ms).,Rod will be recast after this delay (in ms).,经过重抛延迟后，将会重新抛竿。,經過重抛延遲後，將會重新拋竿。,Удочка заново забросится через указанную задержку (в мс).,Akan mengulang mancing setelah delay (dalam ms).,Cần câu sẽ được văng ra lại sau khoảng delay (theo ms).
Enabled,Enabled,启用,啟用,Включено,Aktif,Kích hoạt
Enable,Enable,启动,啟動,Включить,Aktifkan,Kích hoạt
"Enables fast animation attacks.
","Enables fast animation attacks.
","启用快速动画攻击
","啟用快速動畫攻擊
","Включает быструю анимацию атак.
",Aktifkan animasi serangan cepat.,Bật hoạt ảnh đánh nhanh.
Enable Kill Aura,Enable Kill Aura,启用杀戮光环,啟用殺戮光環,Включить Kill Aura,Aktifkan Aura Membunuh,Bật Kill Aura (tự giết quái)
Enables kill aura. Need to choose a mode to work.,Enables kill aura. Need to choose a mode to work.,启动杀戮光环。需要选择一个工作模式。,啟動殺戮光環。需要選擇一個工作模式。,Включает Kill Aura (убивает всех вокруг игрока). Для работы нужно выбрать нужный вам режим.,Aktifkan aura membunuh. Pilih mode terlebih dahulu.,Bật Kill Aura. Cần chọn chế độ để kích hoạt
Enable console for logging information (changes will take effect after relaunch),Enable console for logging information (changes will take effect after relaunch),启用控制台以记录信息(更改将在游戏重新启动后生效),啟用控制台以記錄信息(更改將在遊戲重新啟動後生效),При запуске игры открывается консоль для логгирования информации (изменения будут применены после перезапуска игры),Aktifkan CMD untuk log informasi (diterapkan setelah restart game),Bật cửa sổ console ghi lại thông tin (thay đổi sẽ có hiệu lực sau khi tắt đi bật lại cheat)
Enable chest detection and filters.,Enable chest detection and filters.,启用 宝箱检测和过滤器,啟用 寶箱檢測和過濾器,Включает обнаружение сундуков и фильтров.,Aktifkan deteksi chest dan filter.,Bật phát hiện rương và bộ lọc.
"Enable detection of unknown items.
You can see these items below, if they exist.","Enable detection of unknown items.
You can see these items below, if they exist.","启用对未知道具的检测。
你可以在下面看到这些道具(如果存在)。","啟用對未知道具的檢測。
你可以在下面看到這些道具(如果存在)。","Включает обнаружение неизвестных предметов.
Вы можете просмотреть такие предметы ниже, если вы с ними столкнулись.","Aktifkan deteksi item asing.
Kamu dapat melihat item tersebut di bawah ini, jika ada.","Bật phát hiện những đồ vật không xác định.
Bạn có thể thấy những đồ vật này phía dưới, nếu chúng tồn tại."
"Enables detecting gathered items.
It works only items what will be gathered after enabling this function.
Only items with blue line support this function.","Enables detecting gathered items.
It works only items what will be gathered after enabling this function.
Only items with blue line support this function.","启用检测收集的项目。
并且它仅适用于启用此功能后将收集的项目，
只有带有蓝线的项目支持此功能。","啟用檢測收集的項目。
並且它僅適用於啟用此功能後將收集的項目，
只有帶有藍線的項目支持此功能。","Включает обнаружение собранных точек.
Обнаруживаться будут только те точки, которые были собраны после включения этой функции.
Только предметы с синей линией возле названия поддерживают эту функцию.","Aktifkan deteksi item yang diambil.
Hanya berlaku untuk item yang diambil setelah fitur ini aktif.
Hanya item dengan garis biru yang mendukung fitur ini.",Kích hoạt phát hiện các đồ vật được thu thập. Nó chỉ hoạt động với những đồ vật sẽ được thu thập sau khi kích hoạt chức năng này.  Chỉ những đồ vật có dòng màu xanh mới hỗ trợ chức năng này.
"Enables detecting items what are not in interactive map data.
","Enables detecting items what are not in interactive map data.
","启用检测不在交互式地图数据中的项目。
只有带绿线的项目支持此功能。","啟用檢測不在互動式地圖數據中的項目。
只有帶綠線的項目支援此功能。","Позволяет обнаруживать те предметы, которых нет на интерактивной карте.
",Aktifkan deteksi item yang tidak ada pada data map interaktif.,Kích hoạt phát hiện các đồ vật mà không có trong dữ liệu bản đồ tương tác.
"Enables detecting items what are not in interactive map data.
Only items with green line support this function.","Enables detecting items what are not in interactive map data.
Only items with green line support this function.","启用检测不在交互式地图数据中的项目。
只有带绿线的项目支持此功能。","啟用檢測不在互動式地圖數據中的項目。
只有帶綠線的項目支援此功能。","Позволяет обнаруживать те предметы, которых нет на интерактивной карте.
Только предметы с зелёной линией возле названия поддерживают эту функцию.","Aktifkan deteksi item yang tidak ada pada data map interaktif.
Hanya item dengan garis hijau yang mendukung fitur ini.",Kích hoạt phát hiện các đồ vật mà không có trong dữ liệu bản đồ tương tác. Chỉ những đồ vật có dòng màu xanh mới hỗ trợ chức năng này.
"Enable Attack Effects first, then enable, and finally InitObj","Enable Attack Effects first, then enable, and finally InitObj",先启用攻击效果，然后启用此选项，最后初始化,先啟用攻擊效果，然後啟用此選項，最後初始化,"Enable Attack Effects first, then enable, and finally InitObj","Aktifkan Efek Serangan terlebih dahulu, lalu tekan InitObj","Bật Hiệu ứng đòn đánh trước, rồi kích hoạt, và cuối cùng là InitObj"
Enable Fast Exit.,Enable Fast Exit.,启动快速退出,啟用快速退出,Включить быстрый выход. Работает также как и Alt+F4.,Aktifkan Fast Exit.,Bật thoát nhanh.
"Enable pickup filter.
","Enable pickup filter.
",启用 拾取过滤,啟用 拾取過濾,"Включить фильтр подбора.
",Aktifkan filter ambil.,Bật bộ lọc nhặt.
"Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","Enable teleport-through-list functionality.
Usage:
1. Put Checkmark to the teleports you want to teleport using hotkey
2. Single click the teleport (with checkmark) to select where you want to start
3. You can now press Next or Previous Hotkey to Teleport through the Checklist
Initially it will teleport the player to the selection made
Note: Double click or click the arrow to open teleport details","启用列表传送功能。
用法：
1.勾选你要传送的传送点
2.单击选择以选择你要开始的位置
3.现在可以通过传送下一个/传送上一个进行传送
会先传送到玩家选择的第一个点位。

注意：点击箭头可以打开详细信息。","啟用列表傳送功能。
用法：
1.勾選你要傳送的傳送點
2.單擊選擇以選擇你要開始的位置
3.現在可以通過傳送下一個/傳送上一個進行傳送
會先傳送到玩家選擇的第一個點位。

注意：點擊箭頭可以打開詳細信息。","Включить функцию телепортации по списку.
Использование:
1. Поставьте галочку напротив телепортов, к которым вы хотите телепортироваться с помощью горячей клавиши
2. Один раз кликните на кнопку Select по телепорту, отмеченной галочкой, чтобы выбрать, с какого вы хотите начать
3. Теперь вы можете нажимать горячие клавиши Next (Вперёд) или Previous (Назад), чтобы телепортироваться по списку телепортов

","Aktifkan fitur teleportasi ke list.
Penggunaan:
1. Berikan tanda centang pada teleportasi yang diinginkan untuk teleport menggunakan hotkey
2. Klik satu kali teleportasi (yang dicentang) sebagai permulaan teleport
3. Sekarang kamu dapat menekan tombol Hotkey Selanjutnya atau Sebelumnya untuk teleportasi ke daftar yang sudah dicentang
Sederhananya, fitur ini membuat pemain teleportasi ke seleksi yang dibuat
Catatan: Klik dua kali atau klik panah untuk melihat informasi teleport","Bật dịch chuyển bằng file.
Cách dùng:
1. Đánh dấu các điểm dịch chuyển bạn muốn dịch chuyển đến bắng cách sử dụng phím tắt
2. Nhấp chuột vào điểm dịch chuyển (đã đánh dấu) để chọn nơi bạn muốn bắt đầu
3. Bây giờ bạn có thể nhấn phím Sau hoặc Trước để dịch chuyển đến các điểm trong list
Đầu tiên nó sẽ dịch chuyển bạn đến điểm bạn đã chọn
Chú ý: Nhấp đúp chuột hoặc nhấn vào mũi tên để mở chi tiết điểm dịch chuyển"
"Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","Enable teleport-to-mark functionality.
Usage: 
	1. Open map.
	2. Hold [Teleport Key] and click with the LMB anywhere in the map.
	Done. You have been teleported to selected location.
Teleport might glitch if teleporting to an extremely high location. 
Adjust Override Height accordingly to help avoid.","启用 指定地点传送 功能。
用法：
　　1.打开地图
　　2.按住[传送键]然后鼠标左键点击地图任意位置
　　3.你将会被传送到你选择的地方
如果传送到极高的位置，传送可能会出现问题，
应当调整高度避免该情况。","啟用 指定地點傳送 功能。
用法：
　　1.打開地圖
　　2.按住[傳送鍵]然後鼠標左鍵點擊地圖任意位置
　　3.你將會被傳送到你選擇的地方
如果傳送到極高的位置，傳送可能會出現問題，
應當調整高度避免該情況。","Включает функцию телепортации к курсору.
Использование: 
	1. Откройте карту
	2. Удерживайте горячую клавишу телепорта и нажмите левую кнопку мыши на нужном месте на карте, куда нужно телепортироваться.
	Готово. Вы были телепортированы в выбранное место.
Телепортация может неправильно телепортировать вас, если вы телепортируетесь на слишком высокие места. 
Отрегулируйте ""Ручной ввод высоты"" соответствующим образом, чтобы избежать этой проблемы.","Aktifkan fitur teleportasi ke tanda.
Usage: 
	1. Buka map.
	2. Tahan tombol [Teleport] dan klik LMB dimana saja di map itu.
	Selesai. Kamu sudah diteleportasi ke sana.
Teleportasi akan menyebabkan glitch jika lokasinya terlalu jauh atau terlalu tinggi. 
Sesuaikan nilai Ketinggian untuk membantu mengatasi masalah tersebut.","Bật dịch chuyển qua bản đồ.
Cách dùng: 
	1. Mở bản đồ.
	2. Giữ [Phím Dịch Chuyển] và nhấp chuột trái vào bất kì nơi nào trên bản đồ để dịch chuyển tới.
	Xong. Bạn đã được dịch chuyển tới nơi bạn đã chọn.
Dịch chuyển sẽ bị lỗi nếu như bạn dịch chuyển đến những nơi quá cao. 
Điều chỉnh Độ cao ghi đè có thể sẽ giúp bạn."
"Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","Enable delay fluctuation.
Simulates human clicking delay as manual clickling never consistent.","启用随机延迟。
模拟人类点击延迟，因为手动拾取间隔永远不会相同。","啟用隨機延遲。
模擬人類點擊延遲，因為手動拾取間隔永遠不會相同。","Включить варьируемую задержку.
Имитирует человеческую задержку нажатия, поскольку ручное нажатие никогда не бывает последовательным.","Aktifkan fluktuasi delay.
Men-simulasikan perilaku klik manusia, karena delaynya tidak mungkin konsisten.","Bật độ trễ dao động.
Mô phỏng nhấp chuột có độ trễ giống như con người vì nhấp chuột thủ công không bao giờ có sự nhất quán."
Hotkeys Enabled,Hotkeys Enabled,启用热键,啟用熱鍵,Горячие клавиши включены,Aktifkan HotKey,Kích hoạt phím nóng
Enable hotkeys.,Enable hotkeys.,启用快捷键.,啟用快捷鍵.,Включить горячие клавиши.,Aktifkan hotkey.,Bật phím tắt.
Enable Interpolation,Enable Interpolation,使用插值模式,使用插值模式,Включить интерполирование.,Aktifkan Interpolasi,Kích hoạt Interpolation
Enable interpolation between teleports when using keybinds.,Enable interpolation between teleports when using keybinds.,当使用按键传送时候，会使用插值模式,當使用按鍵傳送時候，會使用插值模式,Создаёт интерполяцию между телепортами при нажатии горячих клавиш.,Aktifkan interpolasi teleportasi ketika menggunakan hotkey.,Bật Interpolation giữa các điểm dịch chuyển khi dùng keybinds.
"Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","Enable custom pickup range.
High values are not recommended, as it is easily detected by the server.

If using with auto-pickup/auto-treasure, turn this on LAST.","启动范围拾取，拾取范围的数值不建议过高，因为它很容易被服务器检测到。

如果要与自动拾取/自动宝藏一起使用，请确保最后打开该选项。","啟動範圍拾取，拾取範圍的數值不建議過高，因為它很容易被伺服器檢測到。

如果要與自動拾取/自動寶藏一起使用，請確保最後打開該選項。","Включить настраиваемый диапазон подбора.
Высокие значения не рекомендуются, поскольку это легко обнаруживается сервером.

При использовании с авто-функциями, включите эту функцию В ПОСЛЕДНЮЮ ОЧЕРЕДЬ.","Aktifkan jarak ambil kustom.
Tidak direkomendasikan menggunakan nilai yang tinggi karena dapat terdeteksi server.

Jika ingin digunakan bersama auto ambil/auto harta, aktifkan fitur ini di AKHIR.","Bật phạm vi nhặt tùy chọn.
Không khuyến khích để quá cao, vì nó rất dễ bị server phát hiện.

Nếu sử dụng chung với tự động nhặt/tự động rương, hãy bật nó SAU CÙNG."
Enables fall control,Enables fall control,启动 坠落控制,啟動 墜落控制,Включает функцию регулировки скорости падения,Aktifkan kontrol jatuh,Bật Fall Control
Enable Custom Challenge,Enable Custom Challenge,启用自定义挑战,啟用自訂義挑戰,Включить ручные испытания,Aktifkan Kostumisasi Tantangan,Bật thử thách tùy chọn
"Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","Enable file logging (changes will take effect after relaunch).
A folder in the app directory will be created for logs.","启用文件记录(更改将在游戏重新启动后生效)，
将在应用程序目录中创建一个用于记录的文件夹。","啟用文件記錄(更改將在遊戲重新啟動後生效)，
將在應用程序目錄中創建一個用於記錄的文件夾。","Включает логгирование в файлов (изменения вступят в силу после перезапуска).
В папке чита будет создана папка для логов.","Aktifkan log file (perubahan diterapkan setelah restart game).
Sebuah folder akan dibuat untuk log dalam folder app.",Bật ghi log ra file (thay đổi sẽ có hiệu lực sau khi tắt đi bật lại cheat).
"Enables god mode when the character's health drops
below the specified minimum.
","Enables god mode when the character's health drops
below the specified minimum.
","当角色的生命值下降到
低于指定的最小值时启用无敌模式。
","當角色的生命值下降到
低於指定的最小值時啟用無敵模式。
","Включает бессмертие, когда здоровье персонажа падает
ниже указанного минимума здоровья.
",Aktifkan Mode Kebal ketika HP karakter mencapai nilai minimum yang ditentukan.,Kích hoạt God Mode khi máu của nhân vật rơi xuống một mức nhất định.
"Enables god mode, i.e. no incoming damage including environmental damage.
","Enables god mode, i.e. no incoming damage including environmental damage.
","启用无敌模式：不会受到伤害包括环境伤害。
","啟用無敵模式：不會受到傷害包括環境傷害。
","Включает бессмертие, т.е. отключает весь урон персонажу, в том числе и от окружающей среды.
","Aktifkan Mode Kebal, Pemain tidak akan terkena damage, termasuk damage lingkungan.","Bật God Mode, kiểu dạng bất tử, không nhận dame, bao gồm cả dame từ môi trường như khi rơi hoặc khi trời quá lạnh."
"Enables multi-hit.
Multiplies your attack count.
This is not well tested, and can be detected by anticheat.
Not recommended to be used with main accounts or used with high values.
","Enables multi-hit.
Multiplies your attack count.
This is not well tested, and can be detected by anticheat.
Not recommended to be used with main accounts or used with high values.
","启用多次命中，增加你的攻击计数。
这没有经过充分测试，可以通过反作弊检测到。
不建议用在主帐户上或使用过高的数值。
","啟用多次命中，增加你的攻擊計數。
這沒有經過充分測試，可以通過反作弊檢測到。
不建議用在主帳戶上或使用過高的數值。
","Включает мульти-хит.
Умножает количество ваших атак.
Функция недостаточно хорошо протестирована, поэтому может быть обнаружена анти-читом.
Не рекомендуется использовать на основном аккаунте или использовать с высокими значениями.
","Aktifkan multi-serangan.
Menggandakan jumlah serangan.
Fitur ini belum dites dengan seksama.
Tidak direkomendasikan untuk digunakan pada akun utama atau dalam jumlah serangan yang tinggi.
","Bật đánh nhiều nhát.
Nghĩa là nhân đòn đánh của bạn lên.
Chức năng này chưa được test kĩ và có thể dễ dàng bị phát hiện bởi anticheat của game.
Không khuyến khích sử dụng trên acc chính hoặc sử dụng với mức độ cao."
"Enables no-clip (fast speed + no collision).
To move, use WASD, Space (go up), and Shift (go down), or customize your own keys.","Enables no-clip (fast speed + no collision).
To move, use WASD, Space (go up), and Shift (go down), or customize your own keys.","启用自由移动(快速移动+无碰撞)。
移动：WSAD
升高：Space
降低：Shift
或者自定义按键。","啟用自由移動(快速移動+無碰撞)。
移動：WSAD
升高：Space
降低：Shift
或者自定義按鍵。","Включает No-Clip (полёт + прохождение сквозь текстуры).
Чтобы передвигаться, используйте WASD, Space (подняться вверх), и Shift (спуститься вниз), или настройте собственные клавиши.","Aktifkan no-clip (cepat + tanpa collision).
Untuk bergerak, gunakan WASD, Space (naik), and Shift (turun), atau atur hotkey sendiri.","Bật no-clip (Bay nhanh + xuyên tường).
Cách sử dụng, nhấn WASD để di chuyển, phím cách (bay lên), và Shift (hạ xuống), hoặc có thể tùy chỉnh phím cho riêng bạn."
Enable RSA Patch,Enable RSA Patch,启用RSA补丁,啟用RSA補丁,Включить патч RSA,Aktifkan Patch RSA,Bật RSA Patch
"Enable blocking and modifying packets by sniffer, can cause network lags.","Enable blocking and modifying packets by sniffer, can cause network lags.",启动 抓包阻塞和修改数据包，可能会导致网络延迟。,啟動 抓包阻塞和修改封包，可能會導致網絡延遲。,"Включить блокировку и изменение пакетов с помощью Sniffer, может привести к задержкам сети.","Aktifkan pemblokiran dan pengubahan packel oleh sniffer, dapat menyebabkan lag jaringan.","Bật chặn và thay đổi packets từ sniffer, có thể gây mạng lag."
"Enable capturing of packet info and sending to pipe, if it exists.","Enable capturing of packet info and sending to pipe, if it exists.",启用 捕获数据包信息并发送到管道(如果存在),啟用 捕獲封包信息並發送到管道(如果存在),"Включить захват информации о пакете и отправку по pipe, если информация существует.","Aktifkan penangkapan info packet dan mengirimnya ke pipe, jika ada.","Bật gửi thông tin packet và gửi đến pipe, nếu nó tồn tại."
Enables custom camera zoom settings.,Enables custom camera zoom settings.,启动自定义摄像机视距设置,啟動自定義攝像機變焦設置,Включает пользовательские настройки масштабирования камеры,Aktifkan pengaturan zoom kamera.,Bật thu phóng camera tùy chỉnh.
Enables attack multipliers. Need to choose a mode to work.,Enables attack multipliers. Need to choose a mode to work.,启动倍攻。需要选择一种倍攻模式。,啟動倍攻。需要選擇一種倍攻模式。,Включает множитель атак. Для работы нужно выбрать нужный вам режим.,Aktifkan pengganda serangan. Mode perlu dipilih terlebih dahulu.,Kích hoạt nhân đòn đánh. Cần phải chọn một chế độ để hoạt động.
Enable the Use of Custom HotKeys,Enable the Use of Custom HotKeys,启用自定义热键,啟用自定義熱鍵,Включить использование пользовательских горячих клавиш,Aktifkan penggunakan Hotkey Kustom,Cho phép sử dụng các phím tắt tùy chỉnh
Enable Peeking,Enable Peeking,反虚化,反虛化,Хорни режим,Aktifkan Pengintip,Bật Peeking
"Enables multi-animation attacks.
Do keep in mind that the character's audio will also be spammed.","Enables multi-animation attacks.
Do keep in mind that the character's audio will also be spammed.","启用多动画攻击。
角色的音频也会触发多重。","啟用多動畫攻擊。
角色的音頻也會觸發多重。","Включает мульти-анимацию атак.
Имейте ввиду, что озвучки персонажа также будут умножены.","Aktifkan serangan multi-animasi.
Perhatikan bahwa audio karakter akan tertimpa terus menerus (spam).",Bật nhân hoạt ảnh đánh. Tiếng của nhân vật cũng sẽ bị nhân lên xD
"Enables multi-target attacks within specified radius of target.
All valid targets around initial target will be hit based on setting.
Damage numbers will only appear on initial target but all valid targets are damaged.
If multi-hit is off and there are still multiple numbers on a single target, check the Entity Manager in the Debug section to see if there are invisible entities.
This can cause EXTREME lag and quick bans if used with multi-hit. You are warned.","Enables multi-target attacks within specified radius of target.
All valid targets around initial target will be hit based on setting.
Damage numbers will only appear on initial target but all valid targets are damaged.
If multi-hit is off and there are still multiple numbers on a single target, check the Entity Manager in the Debug section to see if there are invisible entities.
This can cause EXTREME lag and quick bans if used with multi-hit. You are warned.","启用普攻范围将会同时攻击指定范围内的所有敌人。
伤害数字只会出现在初始目标上，但所有范围内的目标都会收到伤害。
如果未开启倍攻但在单个目标上仍有多个伤害数字，请查看[调试]中的[实体管理器]是否存在不可见的实体。
警告：普攻范围和倍功同时使用可能会导致巨大延迟以及快速被封禁。","啟用多目標攻擊將會同時攻擊指定範圍內的所有敵人。
傷害數字只會出現在初始目標上，但所有範圍內的目標都會收到傷害。
如果未開啟倍攻但在單個目標上仍有多個傷害數字，請查看[調試]中的[實體管理器]是否存在不可見的實體。
警告：多目標攻擊和倍功同時使用可能會導致巨大延遲以及快速被封禁。","Позволяет проводить атаки по нескольким целям в пределах заданного радиуса от цели.
Все доступные цели вокруг атакуемой цели будут атакованы согласно заданным настройкам.
Нанесённый урон будет отображаться только на атакуемой цели, но получат урон все.
Если функция отключена, а над целью всё ещё отображается множество значений, проверьте Entity Manager в разделе Debug чтобы увидеть, есть ли невидимые значения.
Некорректное использование функции может привести к ОЧЕНЬ СИЛЬНЫМ ЗАВИСАНИЯМ, а также БЫСТРЫМ БАНАМ. Вы были предупреждены.","Aktifkan serangan multi-target dalam radius tertentu.
Semua target yang valid akan menerima damage sesuai setingan.
Tampilan serangan hanya tampil pada musuh pertama, namun efeknya dirasakan musuh lainnya.
Jika multi-hit tidak aktif dan masih ada beberapa angka pada satu target, cek Entity Manager di bagian Debug untuk melihat apakah ada entitas yang tidak terlihat.
Akan menyebabkan FPS lag yang besar dan cepat banned jika digunakan bersama multi-serangan. Kamu sudah diperingatkan.","Kích hoạt tấn công nhiều mục tiêu trong bán kính mục tiêu được chỉ định.
Tất cả các mục tiêu hợp lệ xung quanh mục tiêu ban đầu sẽ bị tấn công dựa trên cài đặt.
Chỉ số dame chỉ xuất hiện trên mục tiêu ban đầu nhưng tất cả các mục tiêu hợp lệ đều bị ảnh hưởng.
Nếu đã tắt đánh nhiều nhát những vẫn còn hiện nhiều số dame trên một mục tiêu, hãy kiểm tra Entity Manager trong phần Debug để xem liệu có có entity vô hình nào không.
Cái này có thể khiến máy bạn RẤT LAG và bị ban nhanh chóng nếu sử dụng với đánh nhiều nhát. Bạn đã được cảnh báo."
Enables infinite stamina option.,Enables infinite stamina option.,启动无限体力,啟動無限體力,Включает функцию бесконечной выносливости.,Aktifkan stamina tak terbatas.,Bật vô hạn thể lực
Enable automatic forward teleporation between teleports,Enable automatic forward teleporation between teleports,启用后，自动传送下一个点位。,啟用後，自動傳送下一個點位。,"Автоматически телепортирует игрока. Отметьте нужные вам телепорты галочкой, и нажмите на Select на том телепорте, с которого вы хотите начать телепортироваться.","Aktifkan teleportasi otomatis ","Bật tự động dịch chuyển đến các điểm dịch chuyển tiếp theo "
"Enables mob vacuum.
Mobs within the specified radius will move
to a specified distance in front of the player.","Enables mob vacuum.
Mobs within the specified radius will move
to a specified distance in front of the player.","启用生物吸附。
指定范围内的生物将移动到玩家前方的指定距离。","啟用生物吸附。
指定範圍內的生物將移動到玩家前方的指定距離。","Включает притягивание мобов.
Мобы в указанном радиусе будут перемещены
к игроку на указанное растояние.","Aktifkan vakum musuh.
Musuh dalam radius yang ditentukan akan tersedot didepan pemain.",Bật gom quái. Quái trong phạm vi nhất định sẽ bị dịch chuyển đến trước mặt mình.
Account,Account,账号,帳號,Аккаунт,Akun,Tài khoản
Accounts,Accounts,账号,帳號,Аккаунты,Akun,Tài khoản khác
"Account was updated.
Config profile was changed.","Account was updated.
Config profile was changed.","账户已更新。
配置文件已更换。","賬戶已更新。
配置文件已更換。","Аккаунт был обновлён.
Изменена конфигурация профиля.","Akun telah diperbarui.
Profil konfigurasi telah diperbarui.","Tài khoản của bạn đã được cập nhật.
Hồ sơ cấu hình đã được thay đổi."
Akuoumaru,Akuoumaru,恶王丸,惡王丸,Акуомару,Akuoumaru,Akuoumaru (Trọng Kiếm)
Albedo,Albedo,阿贝多,阿貝多,Альбедо,Albedo,Albedo
Algorithm Of Semi Intransient Matrix Of Overseer Network,Algorithm Of Semi Intransient Matrix Of Overseer Network,半永恒统辖矩阵,半永恒統轄矩陣,Алгоритм полуизвечной матрицы оператора наблюдения,Algoritma Matriks Semi Intransien Pada Jaringan Pengawas,Thuật toán của ma trận bán tạm thời của mạng giám sát
